VARIABLES = "CoordinateX" "CoordinateY" "CoordinateZ"
ZONE T="SLICE_Y_0p1"
 1.197661866E+00 7.500000000E-01 -1.651209267E-03
 1.196681709E+00 7.500000000E-01 -1.773056564E-03
 1.195637010E+00 7.500000000E-01 -1.902658104E-03
 1.194523428E+00 7.500000000E-01 -2.040523308E-03
 1.193336321E+00 7.500000000E-01 -2.187200175E-03
 1.192070730E+00 7.500000000E-01 -2.343279071E-03
 1.190721363E+00 7.500000000E-01 -2.509397143E-03
 1.189282571E+00 7.500000000E-01 -2.686243474E-03
 1.187748335E+00 7.500000000E-01 -2.874565156E-03
 1.186112244E+00 7.500000000E-01 -3.075174495E-03
 1.184367481E+00 7.500000000E-01 -3.288957579E-03
 1.182506799E+00 7.500000000E-01 -3.516884542E-03
 1.180522509E+00 7.500000000E-01 -3.760021882E-03
 1.178406465E+00 7.500000000E-01 -4.019547293E-03
 1.176150044E+00 7.500000000E-01 -4.296767559E-03
 1.173744139E+00 7.500000000E-01 -4.593140155E-03
 1.171179149E+00 7.500000000E-01 -4.910139137E-03
 1.168444969E+00 7.500000000E-01 -5.248755978E-03
 1.165530993E+00 7.500000000E-01 -5.609735300E-03
 1.162426114E+00 7.500000000E-01 -5.993850820E-03
 1.159118731E+00 7.500000000E-01 -6.402218720E-03
 1.155596768E+00 7.500000000E-01 -6.835979359E-03
 1.151847695E+00 7.500000000E-01 -7.296150559E-03
 1.147858558E+00 7.500000000E-01 -7.783549403E-03
 1.143616027E+00 7.500000000E-01 -8.298819364E-03
 1.139106442E+00 7.500000000E-01 -8.842567441E-03
 1.134315887E+00 7.500000000E-01 -9.415308495E-03
 1.129230264E+00 7.500000000E-01 -1.001735218E-02
 1.123835395E+00 7.500000000E-01 -1.064890737E-02
 1.118117129E+00 7.500000000E-01 -1.130996651E-02
 1.112061470E+00 7.500000000E-01 -1.200031981E-02
 1.105654731E+00 7.500000000E-01 -1.271975529E-02
 1.098883691E+00 7.500000000E-01 -1.346785350E-02
 1.091735783E+00 7.500000000E-01 -1.424407476E-02
 1.084199296E+00 7.500000000E-01 -1.504789791E-02
 1.076263585E+00 7.500000000E-01 -1.587866786E-02
 1.067919311E+00 7.500000000E-01 -1.673570217E-02
 1.059158679E+00 7.500000000E-01 -1.761826716E-02
 1.049975691E+00 7.500000000E-01 -1.852564623E-02
 1.040366405E+00 7.500000000E-01 -1.945714220E-02
 1.030329183E+00 7.500000000E-01 -2.041185248E-02
 1.019864944E+00 7.500000000E-01 -2.138867319E-02
 1.008977395E+00 7.500000000E-01 -2.238607426E-02
 9.976732407E-01 7.500000000E-01 -2.340210325E-02
 9.859623667E-01 7.500000000E-01 -2.443414855E-02
 9.738579842E-01 7.500000000E-01 -2.547869673E-02
 9.613767277E-01 7.500000000E-01 -2.653118270E-02
 9.485387014E-01 7.500000000E-01 -2.758590824E-02
 9.353674664E-01 7.500000000E-01 -2.863599364E-02
 9.218899639E-01 7.500000000E-01 -2.967333737E-02
 9.081363704E-01 7.500000000E-01 -3.068867885E-02
 8.941398858E-01 7.500000000E-01 -3.167197353E-02
 8.799364520E-01 7.500000000E-01 -3.261268025E-02
 8.655644091E-01 7.500000000E-01 -3.350006380E-02
