# XYZ HTC extracted from TC_NACA0012_3932_L1_cutData_V2.dat
# Source zone: SLICE_Y_0p9144_BINS15_KS_VAR_CUTDATA
VARIABLES = "X" "Y" "Z" "HTC"
ZONE T="BINS15_XYZ_HTC"
0.399422519	0.914400000	-0.001585980 149.270143300
0.396882873	0.914400000	-0.001142424 150.355947800
0.396882776	0.914400000	-0.001142407 150.355989200
0.394342839	0.914400000	-0.000700386 151.447473100
0.394342742	0.914400000	-0.000700369 151.447514800
0.391802538	0.914400000	-0.000259971 152.538473200
0.391802441	0.914400000	-0.000259954 152.538514900
0.391802344	0.914400000	-0.000259937 152.538555900
0.002048050	0.914400000	0.003317024	38.173198060
0.002600302	0.914400000	0.002522365	70.749065150
0.002600326	0.914400000	0.002522334	70.750467720
0.003239240	0.914400000	0.001716685	107.792648400
0.003976992	0.914400000	0.000891653	139.847139900
0.003977020	0.914400000	0.000891621	139.848379500
0.003977053	0.914400000	0.000891589	139.849329600
0.004832085	0.914400000	0.000034060	168.933116300
0.004832085	0.914400000	0.000034060	168.933116500
0.005791800	0.914400000	-0.000836050 195.228509600
0.006861847	0.914400000	-0.001717655 217.240463300
0.006861847	0.914400000	-0.001717655 217.240464100
0.008016136	0.914400000	-0.002588783 234.967112200
0.008016136	0.914400000	-0.002588783 234.967113800
0.009201801	0.914400000	-0.003416700 252.679264100
0.009201801	0.914400000	-0.003416700 252.679264200
0.009253834	0.914400000	-0.003450559 253.534924900
0.010413886	0.914400000	-0.004205431 272.827500700
0.010413887	0.914400000	-0.004205431 272.827504100
0.010418944	0.914400000	-0.004208517 272.917352300
0.011648306	0.914400000	-0.004958623 294.985171400
0.011648353	0.914400000	-0.004958651 294.985892900
0.012889936	0.914399999	-0.005673614 322.341036600
0.012901540	0.914399999	-0.005680296 322.599909100
0.013864097	0.914400000	-0.006206058 350.507241600
0.014170672	0.914400000	-0.006373514 359.539360100
0.014170673	0.914400000	-0.006373514 359.539363900
0.015453791	0.914400001	-0.007040488 389.303031100
0.016749218	0.914400001	-0.007683104 407.993455300
0.016749268	0.914400001	-0.007683129 407.994286400
0.018055449	0.914400001	-0.008303724 424.686293100
0.018055449	0.914400001	-0.008303724 424.686297100
0.019371062	0.914400002	-0.008904065 442.245037600
0.019371064	0.914400002	-0.008904065 442.245052300
0.019371065	0.914400002	-0.008904066 442.245069500
0.020695126	0.914400002	-0.009485536 459.723943100
0.022026898	0.914400002	-0.010049123 475.638363000
0.022026899	0.914400002	-0.010049123 475.638373800
0.023365562	0.914400001	-0.010596137 489.969749700
0.023365563	0.914400001	-0.010596137 489.969755200
0.024710450	0.914400002	-0.011127670 503.692017400
0.024710451	0.914400002	-0.011127671 503.692028900
0.025974687	0.914400000	-0.011611791 516.610159600
0.026060933	0.914400000	-0.011644817 517.497379900
0.026341406	0.914400000	-0.011748974 520.051147100
0.027416589	0.914400001	-0.012148255 529.899176300
0.028776963	0.914400002	-0.012638632 541.539028700
0.028777016	0.914400002	-0.012638651 541.539454100
0.028777070	0.914400002	-0.012638669 541.539370400
0.030141841	0.914400000	-0.013116673 542.151511200
0.031510657	0.914400002	-0.013582962 538.046462200
0.031510710	0.914400002	-0.013582980 538.046457300
0.032883282	0.914400000	-0.014038281 533.962524300
0.032883282	0.914400000	-0.014038281 533.962523600
0.034259303	0.914400001	-0.014483044 525.376355500
0.034259304	0.914400001	-0.014483044 525.376352600
0.035638495	0.914399998	-0.014917694 520.516795200
0.035638547	0.914399998	-0.014917711 520.516588900
0.037014128	0.914400000	-0.015340613 499.393288000
0.037020814	0.914400000	-0.015342668 499.289987300
0.037020815	0.914400000	-0.015342668 499.289985400
0.037027442	0.914400000	-0.015344657 499.242973900
0.038405867	0.914399999	-0.015758258 489.402124800
0.038405919	0.914399999	-0.015758274 489.401783900
0.039793603	0.914400000	-0.016165003 486.867341000
0.039793656	0.914400000	-0.016165018 486.867183400
0.039793709	0.914400000	-0.016165034 486.867023100
0.041183851	0.914400000	-0.016563273 483.418090300
0.042576306	0.914400000	-0.016953350 480.874350200
0.042576359	0.914400000	-0.016953365 480.874242400
0.043971003	0.914400001	-0.017335540 473.369544800
0.043971056	0.914400001	-0.017335555 473.369272000
0.045367771	0.914400000	-0.017710086 463.644816800
0.045367825	0.914400000	-0.017710100 463.644466200
0.045367878	0.914400000	-0.017710114 463.644217000
0.046766565	0.914400000	-0.018077217 460.129418100
0.046766618	0.914400000	-0.018077231 460.129343100
0.048167157	0.914400000	-0.018437206 455.165252300
0.049569441	0.914400000	-0.018790317 442.613999200
0.049569494	0.914400000	-0.018790330 442.613474500
0.050973422	0.914400000	-0.019136858 440.156284500
0.050973475	0.914400000	-0.019136871 440.156217400
0.052378986	0.914400000	-0.019476905 437.942010000
0.052379040	0.914400000	-0.019476918 437.941921900
0.053786047	0.914400000	-0.019810721 429.753066600
0.053786100	0.914400000	-0.019810734 429.752763800
0.053786154	0.914400000	-0.019810746 429.752682100
0.055194596	0.914400000	-0.020138434 427.585812400
0.056598096	0.914400000	-0.020458764 419.178166900
0.056604454	0.914400000	-0.020460216 419.140069400
0.056610813	0.914400000	-0.020461640 419.115775200
0.058015615	0.914400000	-0.020776260 413.747833800
0.059427962	0.914400000	-0.021086693 410.842459800
0.059428016	0.914400000	-0.021086705 410.842376500
0.060840531	0.914400000	-0.021391532 402.240059300
0.060841587	0.914400000	-0.021391760 402.233632400
0.060841587	0.914400000	-0.021391760 402.233632400
0.060842646	0.914400000	-0.021391984 402.232392900
0.062256236	0.914400000	-0.021691536 400.577722000
0.062256290	0.914400000	-0.021691548 400.577626800
0.063672023	0.914400000	-0.021986153 394.455808400
0.063672076	0.914400000	-0.021986164 394.455579200
