#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
#
#   IPW-3 Ice Shape DATA SUBMITTAL FORM for Test Case ONERAM6, May 18th 2026
#
#       NOMENCLATURE:
#             X_ICED [m]:  X-coordinate of the iced surface
#             Y_ICED [m]:  Y-coordinate of the iced surface
#             Z_ICED [m]:  Z-coordinate of the iced surface
#
#                XXmm:  Roughness height used for the case, in mm.
#                       In the zone name, use the format KS_XXmm.
#                       For example, if k_s = 1.5 mm, use KS_1p5mm. 
#                       For Variable roughness, use KS_VAR
#
#    FLOW CONDITIONS:
#                                   AOA: 2.0 deg
#                           Mach Number: 0.4 [-]
#       Mean aerodynamic chord (M.A.C.): 0.801673 [m]
#                       Reynolds Number: 4.2558 million (based on MAC)
#                       Freestream Temp: 267.15 [K]
#                        Reference area: 1.1532 [m2]
#               Moment Reference Center: 0.25, 0, 0 [m] (X, Y, Z)
#
#              NOTES: 1. Please use at least 5 decimal places in the numerical values
#                     2. If data are NOT provided, please fill data fields with a numerical value of "-999" 
#
#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

AUXDATA NUM_LAYERS  = 6
VARIABLES = "X_ICED" "Y_ICED" "Z_ICED"

ZONE T="SLICE_Y_0p1_BINS01_KS_1mm_FINAL_LAYER"
0.06395 0.10000 0.03695 
0.06345 0.10000 0.03711 
0.06344 0.10000 0.03711 
0.06293 0.10000 0.03726 
0.06291 0.10000 0.03726 
0.06249 0.10000 0.03738 
0.06241 0.10000 0.03740 
0.06208 0.10000 0.03746 
0.06189 0.10000 0.03749 
0.06160 0.10000 0.03755 
0.06145 0.10000 0.03758 
0.06108 0.10000 0.03762 
0.06101 0.10000 0.03763 
0.06097 0.10000 0.03764 
0.06057 0.10000 0.03766 
0.06032 0.10000 0.03768 
0.06015 0.10000 0.03769 
0.05983 0.10000 0.03770 
0.05964 0.10000 0.03772 
0.05926 0.10000 0.03795 
0.05921 0.10000 0.03799 
0.05914 0.10000 0.03813 
0.05891 0.10000 0.03839 
0.05873 0.10000 0.03864 
0.05860 0.10000 0.03874 
0.05845 0.10000 0.03885 
0.05821 0.10000 0.03904 
0.05783 0.10000 0.03930 
0.05769 0.10000 0.03939 
0.05763 0.10000 0.03943 
0.05711 0.10000 0.03973 
0.05704 0.10000 0.03977 
0.05703 0.10000 0.03978 
0.05648 0.10000 0.04002 
0.05626 0.10000 0.04010 
0.05588 0.10000 0.04022 
0.05538 0.10000 0.04037 
0.05524 0.10000 0.04039 
0.05495 0.10000 0.04044 
0.05454 0.10000 0.04051 
0.05440 0.10000 0.04054 
0.05382 0.10000 0.04059 
0.05376 0.10000 0.04060 
0.05325 0.10000 0.04060 
0.05273 0.10000 0.04061 
0.05255 0.10000 0.04059 
0.05228 0.10000 0.04055 
0.05180 0.10000 0.04049 
0.05151 0.10000 0.04045 
0.05099 0.10000 0.04033 
0.05019 0.10000 0.04013 
0.05012 0.10000 0.04010 
0.04996 0.10000 0.04003 
0.04923 0.10000 0.03973 
0.04892 0.10000 0.03961 
0.04830 0.10000 0.03926 
0.04777 0.10000 0.03898 
0.04731 0.10000 0.03863 
0.04672 0.10000 0.03821 
0.04627 0.10000 0.03779 
0.04572 0.10000 0.03729 
0.04537 0.10000 0.03686 
0.04497 0.10000 0.03636 
0.04449 0.10000 0.03562 
0.04435 0.10000 0.03541 
0.04416 0.10000 0.03504 
0.04384 0.10000 0.03441 
0.04365 0.10000 0.03389 
0.04340 0.10000 0.03326 
0.04325 0.10000 0.03276 
0.04302 0.10000 0.03193 
0.04284 0.10000 0.03107 
0.04276 0.10000 0.03063 
0.04257 0.10000 0.02937 
0.04256 0.10000 0.02927 
0.04251 0.10000 0.02884 
0.04239 0.10000 0.02783 
0.04236 0.10000 0.02765 
0.04216 0.10000 0.02620 
0.04211 0.10000 0.02591 
0.04182 0.10000 0.02427 
0.04178 0.10000 0.02403 
0.04139 0.10000 0.02209 
0.04137 0.10000 0.02198 
0.04124 0.10000 0.02133 
0.04092 0.10000 0.01978 
0.04087 0.10000 0.01949 
0.04051 0.10000 0.01737 
0.04039 0.10000 0.01634 
0.04021 0.10000 0.01472 
0.04012 0.10000 0.01258 
0.04009 0.10000 0.01177 
0.04013 0.10000 0.01019 
0.04017 0.10000 0.00872 
0.04025 0.10000 0.00771 
0.04044 0.10000 0.00552 
0.04069 0.10000 0.00339 
0.04082 0.10000 0.00216 
0.04102 0.10000 0.00063 
0.04126 0.10000 -0.00128 
0.04151 0.10000 -0.00283 
0.04186 0.10000 -0.00498 
0.04243 0.10000 -0.00808 
0.04253 0.10000 -0.00865 
0.04262 0.10000 -0.00903 
0.04328 0.10000 -0.01214 
